component,space,actual_error,bound,covered,status,bound_to_actual_error_ratio
PARENT_Z,SOLUTION,0.000000000000008982265570557587330773030947618118508577669882842149533995818117717710846294214442357564777737929926,0.0000000000003226016562676377291832930729419859852938628308420601477443639054955629477059647754299784885800860621,TRUE,FINITE_RATIO,35.91539948730459964005715954713340660571445691902595555489731107629910005606928362177248803322515971
PARENT_ZG,SOLUTION,0.000000000000008877751912471859527566842248818694646071077346289124424409614310870775845120860722929759342793029145,0.0000000000002654033664645770837841684095747019844356589723578280133643990225258788469947115176298525210742069229,TRUE,FINITE_RATIO,29.89533488672134062987403970924420187857166490827823972671314254236069655351965983241045512894259096
SUBTRACTION,SOLUTION,0.0,0.000000000000000008755508231403353310095668932022987078368263531757629703980824904649976733759262055858025981910067742,TRUE,EXACT_ZERO_ERROR_DENOMINATOR,
TOTAL_DIRECT_RESPONSE,SOLUTION,0.00000000000001016387846857356584632190690927204634126068085257334235575761215085634397794505682864385236710317844,0.0000000000005880137782404462163207715781856199927166001714634199187384669088463464446774100523218868676802748951,TRUE,FINITE_RATIO,57.85328701622798140592688042037248754889265166529548069662376214189385025391065863098648571081844995
