component,space,actual_error,bound,covered,status,bound_to_actual_error_ratio
FORCING_ROUNDING,RIGHT_HAND_SIDE,0.0,0.0,TRUE,EXACT_ZERO_ERROR_DENOMINATOR,
PARENT_Z_PROPAGATION,RIGHT_HAND_SIDE,0.00000000000000000000000000003191141775913872653366720636689322002360452004709454433138595461271944076846627937398737905190390736,0.000000000000000000000000001146111317025733914872251776777950685804309326137442851292163600957831262782224170244583975560054732,TRUE,FINITE_RATIO,35.91539948730459964005715954713340660571445691902595555489731107629910005606928362177248803322515971
RESPONSE_SOLVE,SOLUTION,0.000000000000000000000000001274870781163624350699286151282165629261904926882821091523064210000357812807489635995150561583755374,0.00000000000000000000000001807358043462780398103109875444254296972554098749643641300306491032825528954547138169219700320866423,TRUE,FINITE_RATIO,14.17679399486380986295737278875177421037615266553286607280447061139182747833877117003904917890140827
TOTAL_RESPONSE_ROUTE,SOLUTION,0.0000000000000000000000009828615132538012364816828537658692569826602170536747836483763887205993729406288927742694094587917885,0.0000000000000000000002588299567178916551202655296880895539935734612342619760039891099523264193484210461160608761377537887,TRUE,FINITE_RATIO,263.3432617185558772377900914769749222000180730920744163896957837963448048067937582507864306752651597
