system_id,family,dimension,condition_exponent,epsilon,seed,condition2_j,condition2_guarded,backward_error_j,backward_error_guarded,forward_bound_j,forward_bound_guarded,U_direct,relative_uncertainty,eta_stable_binary64,wp27_style_label,z_binary64_hex,zg_binary64_hex,delta_direct_hex,delta_stable_hex,finite
NONSYMMETRIC_D02_C10_E1eM16,NONSYMMETRIC,2,10,1e-16,287773686205913865,9999930003.91978,9999920004.55974,0.0,0.0,0.0,0.0,5.024294620578041e-15,4.440890996112281e-15,7.070838013138671e-07,OBSERVABLE,"[""-0x1.9999999999999p-1"", ""0x1.9999999999999p-1""]","[""-0x1.999999c9b36dap-1"", ""0x1.99997ec20b43ep-1""]","[""-0x1.80cea08000000p-28"", ""-0x1.ad78e55b00000p-21""]","[""-0x1.80cea0160043dp-28"", ""-0x1.ad78e55aec374p-21""]",True
NONSYMMETRIC_D02_C10_E1eM15,NONSYMMETRIC,2,10,1e-15,2745922838885196255,10001429962.820967,10001329952.121737,0.0,0.0,0.0,0.0,3.97203865429438e-15,4.4408742201295104e-15,8.944705659647255e-06,OBSERVABLE,"[""-0x1.999999999999ap-2"", ""0x1.9999999999999p-1""]","[""-0x1.9999929ef53a0p-2"", ""0x1.99988d2c98d9fp-1""]","[""0x1.bea917e800000p-24"", ""-0x1.0c6d00bfa0000p-17""]","[""0x1.bea917e2d8b8ap-24"", ""-0x1.0c6d00bf9eb2cp-17""]",True
NONSYMMETRIC_D02_C10_E1eM14,NONSYMMETRIC,2,10,1e-14,4255831273387123935,9999880002.519945,9998880135.503702,0.0,0.0,0.0,0.0,3.2022617760473223e-15,4.440738088845e-15,8.319533721974859e-05,OBSERVABLE,"[""-0x1.999999999999ap-2"", ""0x1.3333333333333p-1""]","[""-0x1.99998d8598fd0p-2"", ""0x1.332b562d7ad82p-1""]","[""0x1.8280139400000p-23"", ""-0x1.f7416e16c4000p-15""]","[""0x1.8280139343be4p-23"", ""-0x1.f7416e16c47ffp-15""]",True
NONSYMMETRIC_D02_C10_E1eM12,NONSYMMETRIC,2,10,1e-12,6778994297290750917,10000129979.723166,9901134082.270456,9.904720412081007e-27,4.277089236953089e-17,9.904849153362727e-17,4.2348051950475816e-07,9.39488574061572e-08,4.201520631372041e-07,0.00885509532096585,OBSERVABLE,"[""-0x1.9999999999999p-4"", ""-0x1.999999999999ap-3""]","[""-0x1.99b496c0a249fp-4"", ""-0x1.958b90f71b6d1p-3""]","[""-0x1.afd2708b06000p-16"", ""0x1.0382289f8b240p-9""]","[""-0x1.afd2708b058dap-16"", ""0x1.0382289f8b24ep-9""]",True
NONSYMMETRIC_D02_C10_E1eM8,NONSYMMETRIC,2,10,1e-8,11028742123624652869,10000280006.720158,99010321.54700293,1.5503618657615768e-26,0.0,1.550405276935686e-16,0.0,1.9493116805115513e-15,3.08213238999348e-15,0.9392924958798062,OBSERVABLE,"[""-0x1.9999999999999p-3"", ""0x1.3333333333334p-1""]","[""-0x1.9c0883f9b3010p-3"", ""0x1.855042ea7c48cp-8""]","[""-0x1.3775300cb3b80p-10"", ""-0x1.302892ad5e3abp-1""]","[""-0x1.3775300cb3b33p-10"", ""-0x1.302892ad5e3abp-1""]",True
NONSYMMETRIC_D04_C02_E1eM16,NONSYMMETRIC,4,2,1e-16,18147807518812539749,100.01222315880877,100.01222315880774,4.856167490002179e-17,3.058631188572494e-18,4.8567610670665255e-15,3.0590050499200175e-16,1.3272375233066693e-14,9.603553670559145e-15,5.099173909085685e-15,RESOLUTION_LIMITED,"[""0x1.ccccccccccccdp-1"", ""-0x1.3333333333333p-1"", ""0x1.0000000000000p-1"", ""-0x1.6666666666666p-1""]","[""0x1.ccccccccccccdp-1"", ""-0x1.333333333332ep-1"", ""0x1.ffffffffffff7p-2"", ""-0x1.6666666666626p-1""]","[""0x0.0p+0"", ""0x1.4000000000000p-51"", ""-0x1.2000000000000p-51"", ""0x1.0000000000000p-47""]","[""-0x1.0858929290a9fp-54"", ""0x1.4888e96c41ca2p-51"", ""-0x1.23ae521e085e1p-51"", ""0x1.f8cf1ec91f6d1p-48""]",True
NONSYMMETRIC_D04_C02_E1eM15,NONSYMMETRIC,4,2,1e-15,7241841712845906650,99.99404724458626,99.99404724457642,5.324946990274348e-18,5.3353371406231054e-18,5.324630009204109e-16,5.335019541052104e-16,5.451510351802685e-15,5.5068570535262006e-15,3.1586857627584395e-14,TRANSITION,"[""0x1.3333333333333p-2"", ""0x1.9999999999999p-1"", ""0x1.999999999999ap-2"", ""0x1.3333333333333p-2""]","[""0x1.3333333333330p-2"", ""0x1.9999999999955p-1"", ""0x1.9999999999951p-2"", ""0x1.3333333333116p-2""]","[""-0x1.8000000000000p-53"", ""-0x1.1000000000000p-47"", ""-0x1.2400000000000p-48"", ""-0x1.0e80000000000p-45""]","[""-0x1.7ce245573b974p-53"", ""-0x1.14bf24a444f0fp-47"", ""-0x1.2565e74f3bb72p-48"", ""-0x1.0e8a85502fa02p-45""]",True
NONSYMMETRIC_D04_C02_E1eM14,NONSYMMETRIC,4,2,1e-14,14296590250057465157,100.01885616526754,100.0188561651685,8.91823711627744e-18,8.918237116280753e-18,8.919918753807043e-16,8.919918753801526e-16,8.39781664460672e-15,6.2248758492599525e-15,6.699983793739977e-13,OBSERVABLE,"[""-0x1.999999999999ap-2"", ""-0x1.6666666666667p-1"", ""0x1.3333333333333p-1"", ""-0x1.ccccccccccccdp-1""]","[""-0x1.99999999998f9p-2"", ""-0x1.666666666643fp-1"", ""0x1.33333333330efp-1"", ""-0x1.cccccccccad26p-1""]","[""0x1.4200000000000p-47"", ""0x1.1400000000000p-44"", ""-0x1.2200000000000p-44"", ""0x1.fa70000000000p-41""]","[""0x1.418f7a3d2a92ap-47"", ""0x1.1339e5d447ec5p-44"", ""-0x1.22116f2f2e9d1p-44"", ""0x1.fa5a15a89ab0ap-41""]",True
NONSYMMETRIC_D04_C02_E1eM12,NONSYMMETRIC,4,2,1e-12,16162613708444363781,100.03034856748612,100.03034855758139,8.221598800833183e-18,8.222351430342558e-18,8.224093938293697e-16,8.224846795400945e-16,7.175036078505312e-15,6.085786171842596e-15,1.236206281509652e-11,OBSERVABLE,"[""0x1.0000000000000p-1"", ""0x1.999999999999ap-1"", ""-0x1.6666666666666p-1"", ""-0x1.999999999999ap-4""]","[""0x1.fffffffffd4a9p-2"", ""0x1.99999999882c2p-1"", ""-0x1.6666666656f97p-1"", ""-0x1.99999998e9a64p-4""]","[""-0x1.5ab8000000000p-41"", ""-0x1.16d8000000000p-37"", ""0x1.ed9e000000000p-38"", ""0x1.5fe6c00000000p-37""]","[""-0x1.5ab3a230bfba5p-41"", ""-0x1.16d56580402abp-37"", ""0x1.ed9bf24a5e24ep-38"", ""0x1.5fe677babb573p-37""]",True
NONSYMMETRIC_D04_C02_E1eM8,NONSYMMETRIC,4,2,1e-8,11998422322364361414,100.00948755014355,100.0093885373764,7.815062142461792e-18,5.557548036962448e-17,7.815803600401313e-16,5.558069809437141e-15,1.3847854608079419e-14,1.0780540191292107e-14,4.715017753811254e-07,OBSERVABLE,"[""0x1.6666666666667p-1"", ""0x1.999999999999ap-1"", ""0x1.999999999999ap-2"", ""0x1.3333333333332p-1""]","[""0x1.66666647cdd9dp-1"", ""0x1.999997043c0c3p-1"", ""0x1.999996c4c5036p-2"", ""0x1.33331f17b47f5p-1""]","[""-0x1.e988ca0000000p-29"", ""-0x1.4aaec6b800000p-24"", ""-0x1.6a6a4b2000000p-25"", ""-0x1.41b7eb3d00000p-21""]","[""-0x1.e988c90006c71p-29"", ""-0x1.4aaec6b3788acp-24"", ""-0x1.6a6a4b1f25064p-25"", ""-0x1.41b7eb3ea546bp-21""]",True
