component,space,actual_error,bound,covered,status,bound_to_actual_error_ratio
PARENT_Z,SOLUTION,0.00000000000003896088172994872534787669477953416790279124652174060337418203654707179292554599330762230564635173007,0.000000000001998316603294882697331652137073513941099371326188426640793086650775479534205191473887025838307758855,TRUE,FINITE_RATIO,51.29033313840026872822552120728548527930820782437180131945737258931800836749225365786016516956517802
PARENT_ZG,SOLUTION,0.00000000000002940137979011524915744363487612143050839013731419060881431674386052265450547523009887254440197265792,0.000000000001972463621003635515000999963369635620760590140208859215730963255097274497962785677864834539953672571,TRUE,FINITE_RATIO,67.08745083000418405934277065818114320316587339331109609865274624754933011866102668570457851728092662
SUBTRACTION,SOLUTION,0.0,0.00000000000000001968664442411224079925168347236519990952273468246818527252100080550963553906904869296397908073150567,TRUE,EXACT_ZERO_ERROR_DENOMINATOR,
TOTAL_DIRECT_RESPONSE,SOLUTION,0.00000000000004280167504363000675194949657562349327938096135887343292673741824228984188244213135752886114470267775,0.000000000003970799910942942324573451352126621927059870989131968324709322426873559541803516220800553342240512158,TRUE,FINITE_RATIO,92.77206807666513910953795584539211694561473193646120361395880610531788908038220534494794323202576977
