dataset,system_id,lane,family,dimension,condition_exponent,epsilon,parent,inverse_frobenius,inverse_spectral,norm_majorant_inflation,parent_bound,parent_error,parent_effectivity,directional_alignment_inflation,factorization_relative_residual,status
development,NONSYMMETRIC_D04_C08_E1eM8,decimal-source,NONSYMMETRIC,4,8,1e-8,z,100008729.91459924,100008679.91514038,1.0000004999511933,4.4013171448550724e-09,1.0235750533041807e-16,42999456.95869858,42999435.46107951,0.0,FINITE
development,NONSYMMETRIC_D04_C08_E1eM8,decimal-source,NONSYMMETRIC,4,8,1e-8,zg,50003824.15937122,50003724.35896318,1.000001995859495,5.752388307954262e-09,1.9118020390499756e-16,30088828.18648302,30088768.13352945,0.0,FINITE
development,NONSYMMETRIC_D04_C08_E1eM8,binary64-operand,NONSYMMETRIC,4,8,1e-8,z,100008729.91459924,100008679.91514038,1.0000004999511933,2.397528261037832e-09,8.323456253609387e-17,28804479.62945882,28804465.228632055,0.0,FINITE
development,NONSYMMETRIC_D04_C08_E1eM8,binary64-operand,NONSYMMETRIC,4,8,1e-8,zg,50003824.15937122,50003724.35896318,1.000001995859495,4.627018978188224e-09,1.430349994089596e-16,32348858.652132045,32348794.088484213,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM12,decimal-source,NONSYMMETRIC,4,10,1e-12,z,10002143906.414942,10002138908.491978,1.0000004996854184,5.2358297432714567e-08,4.685680459230494e-17,1117410755.7755466,1117410197.4219646,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM12,decimal-source,NONSYMMETRIC,4,10,1e-12,zg,9903103025.335165,9903097977.528908,1.0000005097199147,9.04633227385444e-08,2.9149199153303695e-17,3103458254.985764,3103456673.0920935,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM12,binary64-operand,NONSYMMETRIC,4,10,1e-12,z,10002143906.414942,10002138908.491978,1.0000004996854184,1.9391687502765523e-08,3.9578590476293145e-17,489953969.29005826,489953724.46732646,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM12,binary64-operand,NONSYMMETRIC,4,10,1e-12,zg,9903103025.335165,9903097977.528908,1.0000005097199147,3.505785284857169e-08,4.3828667137370726e-17,799884074.4732445,799883666.7566102,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM14,decimal-source,NONSYMMETRIC,4,10,1e-14,z,10004013435.030983,10004008438.534391,1.000000499449458,4.488016687947471e-08,1.6625566625485463e-16,269946690.4825821,269946555.6579212,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM14,decimal-source,NONSYMMETRIC,4,10,1e-14,zg,10003012883.732542,10003007886.737173,1.0000004995492782,8.720218813631522e-08,1.389103380521477e-16,627758807.2932271,627758493.6969247,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM14,binary64-operand,NONSYMMETRIC,4,10,1e-14,z,10004013435.030983,10004008438.534391,1.000000499449458,4.661053335266948e-08,1.4952082508051268e-16,311732719.02138746,311732563.3267277,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM14,binary64-operand,NONSYMMETRIC,4,10,1e-14,zg,10003012883.732542,10003007886.737173,1.0000004995492782,8.094065810074143e-08,8.931697291729647e-17,906218106.7834538,906217654.0830789,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM15,decimal-source,NONSYMMETRIC,4,10,1e-15,z,10001122244.062305,10001117245.371824,1.0000004998132068,2.1007780083904275e-07,1.1389935954777104e-16,1844415997.3606617,1844415075.4976482,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM15,decimal-source,NONSYMMETRIC,4,10,1e-15,zg,10001022229.01452,10001017230.274155,1.000000499823193,1.6191027010984445e-07,2.758699961481135e-17,5869078637.4215,5869075703.921342,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM15,binary64-operand,NONSYMMETRIC,4,10,1e-15,z,10001122244.062305,10001117245.371824,1.0000004998132068,7.87862402712093e-08,8.243289218900949e-17,955762174.2854924,955761696.5831739,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM15,binary64-operand,NONSYMMETRIC,4,10,1e-15,zg,10001022229.01452,10001017230.274155,1.000000499823193,5.41337573426097e-07,6.138837066275888e-17,8818243057.793,8818238650.2328,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM16,decimal-source,NONSYMMETRIC,4,10,1e-16,z,10001977502.79981,10001972502.632816,1.0000004999180905,8.819136026754826e-07,1.6946818973100073e-16,5204006746.489454,5204004144.913639,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM16,decimal-source,NONSYMMETRIC,4,10,1e-16,zg,10001967499.848469,10001962499.676485,1.0000004999190892,4.713597961124935e-08,1.4702795861929826e-16,320591947.6396953,320591787.3697409,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM16,binary64-operand,NONSYMMETRIC,4,10,1e-16,z,10001977502.79981,10001972502.632816,1.0000004999180905,4.3426651235651705e-07,1.0516582127022438e-16,4129350269.0447874,4129348204.708918,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM16,binary64-operand,NONSYMMETRIC,4,10,1e-16,zg,10001967499.848469,10001962499.676485,1.0000004999190892,4.053944250083149e-07,7.701137284510137e-17,5264085160.820526,5264082529.205182,0.0,FINITE
development,NONSYMMETRIC_D04_C10_E1eM8,decimal-source,NONSYMMETRIC,4,10,1e-8,z,10001632709.250385,10001627710.060377,1.0000004998376417,8.300747424387238e-09,7.070865672341163e-17,117393651.76822631,117393593.09048958,0.0,FINITE
