dataset,lane,rows,direct_coverage,response_coverage,response_lower_error_count,response_lower_bound_count,effectivity_direct_median,effectivity_direct_p95,effectivity_direct_log10_max,effectivity_response_median,effectivity_response_p95,effectivity_response_log10_max,response_to_direct_error_ratio_median,response_to_direct_error_ratio_p95,response_to_direct_error_ratio_log10_max,response_to_direct_bound_ratio_median,response_to_direct_bound_ratio_p95,response_to_direct_bound_ratio_log10_max,relative_U_direct_median,relative_U_direct_p95,relative_U_direct_log10_max,relative_U_response_median,relative_U_response_p95,relative_U_response_log10_max
DEVELOPMENT,BINARY64_OPERAND,300,300,300,199,229,54083.29090244044,1307306861.5189033,10.339215209861305,22892.74252462473,1219419630.2533455,10.878899234477633,0.6310964364459846,54.759258043877026,5.118710312166788,0.4620742762262017,3.4018025068109172,5.5269269865633905,0.0161648467920265,4.340317997866714,1.266273166011806,0.00113218450266245,1.7505437150678465,0.7158417873489483
DEVELOPMENT,DECIMAL_SOURCE,300,300,300,295,283,40965.831647105915,1540262848.3874955,10.065117056705525,65355.426420018965,2632045687.2400193,11.22269891156908,5.285597880000001e-08,0.7323575999476691,0.4080954050319229,6.90283074e-08,1.4004062775036168,1.7816069949069688,0.020819679589591848,4.852781456357074,1.246124143396648,3.036191e-10,8.756511300210003e-06,-4.316714606539183
HOLDOUT_G2_20,BINARY64_OPERAND,300,300,300,160,188,225592849.46063203,41108861479499.22,166.7142986437217,53458153.987233184,29444543127279.883,14.842347478307955,0.9801376943002295,257.97753374110783,166.0824296170196,0.48034075115135844,8.429464027456724,11.490699441394467,0.035462248356803394,16.95458274075549,166.7142986437217,0.02664877812046325,4.486039350513455,166.2326651609793
HOLDOUT_G2_20,DECIMAL_SOURCE,300,300,300,271,229,47500581.54930633,14806914085571.227,14.655208961383806,109116493.75449756,53595394707622.33,15.680060880107522,0.00201184175594425,1.0143743168633665,0.7838783046338774,0.0041084625551226495,5.979390270772151,1.230500370142803,0.05479695532329765,11.947719418017172,2.0061731944118257,0.00011072373281825,0.07109989229681764,0.18146505519301778
