dataset,lane,parent,rows,effectivity_median,norm_inflation_median,directional_inflation_median,norm_inflation_p95,directional_inflation_p95
development,binary64-operand,z,300,14558.113316240217,1.0000964310235214,14557.754240749826,1.9373665759735046,735057873.1244242
development,binary64-operand,zg,300,15737.366837404912,1.000096620482885,14576.41583023281,1.9373666342095088,317771833.0476695
development,decimal-source,z,300,13333.188426162957,1.0000964310235214,11789.548833163077,1.9373665759735046,853300142.9710761
development,decimal-source,zg,300,25442.52412821388,1.000096620482885,23080.775712006493,1.9373666342095088,335950122.6861036
holdout,binary64-operand,z,300,1950.8678631699083,1.0050377879067744,1534.2719399969226,2.6933175369677653,35877373.18255324
holdout,binary64-operand,zg,300,1798.838054860407,1.0050386881842097,1658.8853384537013,2.69331753717877,42604959.13000536
holdout,decimal-source,z,300,1720.3230266329206,1.0050377879067744,1364.3183012762915,2.6933175369677653,39010058.66295109
holdout,decimal-source,zg,300,2006.4298559494978,1.0050386881842097,1881.267131539576,2.69331753717877,87223332.2928151
