case,dimension,route,d_obs_exact,U_exact,lower_exact,upper_exact,relative_error_upper_bound_exact,decision,precision_ladder_dps,maximum_precision_normalized_difference,maximum_reference_relative_residual,maximum_response_identity_difference,repeatability_pass,offline_wall_seconds,peak_memory_bytes,authoritative_source
M8,196,Direct difference,0.000000000002918501453675815619003295600792059020724842442008198224025152023280417986160879525982636481996805201,0.0000000000005880137782404462163207715781856199927166001714634199187384669088463464446774100523218868676802748951,0.000000000002330487675435369402682524022606439028008242270544778305286685114434071541483469473660749614316530306,0.000000000003506515231916261835324067178977679013441442613471618142763618932126764430838289578304523349677080096,0.2523136184921452489334362403820407858086971785578796069759756449422942232194245526536411060357365522,DISTINGUISHABLE_FROM_ZERO,120;180,8.805709238088443418717696246194794309233347054671857451915172878182120805467858627882320352049155351e-121,2.550975633144060358651121495994554262454212552833579668801435162372899625686880942433077965138698482e-124,9.184908547614584365843098445717615273927949069784415575498101138745372523077267698599848757236500405e-123,True,467.59207850007806,115154944,paper3_numerical_guard_observability/Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json
M8,196,Response equation,0.000000000002920014225448921194247356802174714286185319453828740408651271875657701064240318743702369440071251828,0.0000000000000000000002588299567178916551202655296880895539935734612342619760039891099523264193484210461160608761377537887,0.000000000002920014225190091237529465147054448756497229899835166947417009899653711954287992324353948393955190952,0.000000000002920014225707751150965248457294979815873409007822313869885533851661690174192645163050790486187312704,0.00000000008863996431422931667711517756004681282697606098619514486265463996005113637044118288801026994349082996,DISTINGUISHABLE_FROM_ZERO,120;180,8.805709238088443418717696246194794309233347054671857451915172878182120805467858627882320352049155351e-121,2.550975633144060358651121495994554262454212552833579668801435162372899625686880942433077965138698482e-124,9.184908547614584365843098445717615273927949069784415575498101138745372523077267698599848757236500405e-123,True,467.59207850007806,115154944,paper3_numerical_guard_observability/Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json
M16,900,Direct difference,0.0000000000246337644077072171041837867972547031193063729610422125441092925581517718827382698855426123142196727,0.000000000003970799910942942324573451352126621927059870989131968324709322426873559541803516220800553342240512158,0.00000000002066296449676427477961033544512808119224650197191024421939997013127821234093475366474205897197916054,0.00000000002860456431865015942875723814938132504636624395017418086881861498502533142454178610634316565646018485,0.1921699043505955464754606186404427103889558168489583509620597278991055977662511355172628645464869451,DISTINGUISHABLE_FROM_ZERO,120;180,3.970070132750438631700383147943504894701312294351914371692426413918750617781988184765817763642002851e-121,4.144081636789256042980152783815408051477575895803853909450838888825469614759897729345099133667671501e-124,3.042263371127548763663398067690371506244981727776327488266090163022312372500385866854677112813264999e-122,True,37512.160941799986,1452195840,paper3_numerical_guard_observability/Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json
M16,900,Response equation,0.0000000000246367184609706229802356176545021502495517486557655708640777051756475467152072508356411351653360519,0.0000000000000000000069304826171673561801211534161663831658382676666413069558694185951345727480057886539594297019202223,0.0000000000246367184540401403630682614743809968333853654899273031974363982197781281200726780876353465113766222,0.0000000000246367184679011055974029738346233036657181318216038385307190121315169653103418235836469238192954816,0.0000000002813070511032623424952586212313222893810817729228669242584304341140586873408936987001183002654740493,DISTINGUISHABLE_FROM_ZERO,120;180,3.970070132750438631700383147943504894701312294351914371692426413918750617781988184765817763642002851e-121,4.144081636789256042980152783815408051477575895803853909450838888825469614759897729345099133667671501e-124,3.042263371127548763663398067690371506244981727776327488266090163022312372500385866854677112813264999e-122,True,37512.160941799986,1452195840,paper3_numerical_guard_observability/Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json
