component,space,actual_error,bound,covered,status,bound_to_actual_error_ratio
FORCING_ROUNDING,RIGHT_HAND_SIDE,0.0,0.0,TRUE,EXACT_ZERO_ERROR_DENOMINATOR,
PARENT_Z_PROPAGATION,RIGHT_HAND_SIDE,0.0000000000000000000000000001384168574601173608154052444502261490654548713114756828239465724091125513181523605070648331375754838,0.000000000000000000000000007099446731099883924300016733871792741792359486611113939577985301722689592214946237501130491081933567,TRUE,FINITE_RATIO,51.29033313840026872822552120728548527930820782437180131945737258931800836749225365786016516956517801
RESPONSE_SOLVE,SOLUTION,0.00000000000000000000000001314897733036868847886812144296586291469189142034452248493688783220978637374764077468027429563393376,0.0000000000000000000000004963781817969057629693103945555487579252590699178538847648306411221536674972641507398272667592811359,TRUE,FINITE_RATIO,37.75032607672673298854234442595474727031893698572952685284992191281361877882222776327008210386759051
TOTAL_RESPONSE_ROUTE,SOLUTION,0.00000000000000000000001219355072305775511277185137221712565610628321616247847248064212283064634198569617613343820314282467,0.0000000000000000000069304826171673561801211534161663831658382676666413069558694185951345727480057886539594297019202223,TRUE,FINITE_RATIO,568.3728041629379741679916197446401845828893381856282517372257817332469096345923405884735002518412162
